POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3,,"(37.7939895996, -122.4087761004)"
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3,,"(37.7717493986, -122.4089402013)"
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3,,"(37.7712515973, -122.4083153025)"
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3,,"(37.7711418000, -122.4081772973)"
210-03090,-,0,Grey,SS,N,N,SFMTA,ON,0,309,10TH ST,488000,Area 3,,"(37.7725928974, -122.4124028997)"
210-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,10TH ST,488000,Area 3,,"(37.7721761995, -122.4121734981)"
210-03610,-,0,Grey,SS,N,N,SFMTA,ON,0,361,10TH ST,489000,Area 3,,"(37.7717347973, -122.4113273003)"
590-01240,-,0,Grey,SS,Y,N,SFMTA,ON,0,124,OAK ST,9751000,Area 5,Civic Center,"(37.7752006975, -122.4217100979)"
442-07040,-,0,Grey,SS,Y,N,SFMTA,ON,0,704,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7808611979, -122.4223038999)"
210-04580,-,0,Grey,SS,N,N,SFMTA,ON,0,458,10TH ST,490000,Area 3,,"(37.7703797006, -122.4099213981)"
327-03130,-,0,Grey,SS,N,N,SFMTA,ON,0,313,BROADWAY,3146000,Area 3,,"(37.7982882028, -122.4027095974)"
442-07380,-,0,Green,SS,Y,N,SFMTA,ON,0,738,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7807270986, -122.4233570022)"
442-07400,-,0,Grey,SS,Y,N,SFMTA,ON,0,740,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7807172974, -122.4234334004)"
330-09600,-,0,Grey,SS,N,N,SFMTA,ON,0,960,BRANNAN ST,3089000,Area 3,,"(37.7702133980, -122.4069567022)"
327-05180,-,0,Yellow,SS,N,N,SFMTA,ON,0,518,BROADWAY,3151000,Area 3,,"(37.7980187972, -122.4060832017)"
359-16350,-,0,Grey,SS,N,N,SFMTA,ON,0,1635,CLAY ST,4105000,Area 3,,"(37.7924254023, -122.4202973002)"
359-17260,-,0,Grey,SS,N,N,SFMTA,ON,0,1726,CLAY ST,4106000,Area 3,,"(37.7923481994, -122.4217525997)"
614-10070,-,0,Grey,SS,N,N,SFMTA,ON,0,1007,POST ST,10639000,Area 3,,"(37.7869268012, -122.4186151975)"
502-00160,-,0,Grey,SS,N,N,SFMTA,ON,0,16,JONES ST,7563000,Area 2,,"(37.7816058014, -122.4120548998)"
502-00180,-,0,Grey,SS,N,N,SFMTA,ON,0,18,JONES ST,7563000,Area 2,,"(37.7816558023, -122.4120653995)"
470-15100,-,0,Grey,SS,N,N,SFMTA,ON,0,1510,HOWARD ST,7057000,Area 3,,"(37.7729074982, -122.4159396996)"
444-12160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1216,GRANT AVE,6402000,Area 3,,"(37.7986843985, -122.4071348009)"
419-01050,-,0,Grey,SS,Y,N,SFMTA,ON,0,105,FRANKLIN ST,5798000,Area 5,Civic Center,"(37.7754903984, -122.4210994986)"
563-05360,-,0,Grey,SS,Y,N,SFMTA,ON,0,536,MCALLISTER ST,8895000,Area 5,Civic Center,"(37.7799963978, -122.4215430019)"
446-02180,-,0,Grey,SS,N,N,SFMTA,ON,0,218,GROVE ST,6555000,Area 5,Civic Center,"(37.7781881028, -122.4207701010)"
331-06630,-,0,Grey,SS,Y,N,SFMTA,ON,0,663,BRYANT ST,3285000,Area 5,South Embarcadero,"(37.7782731009, -122.3995382988)"
